Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw]
CharText/Enemy/Witch/Ally/MissChain_Low,Text,,그래... 네가 그렇게 하겠다면...,Très bien... si c'est vraiment ce que tu veux...,そう…君が決めたなら…,好吧……如果你一定要这么做……,好吧……如果你一定要這麼做……
CharText/Enemy/Witch/Ally/Priest,Text,,.....,.....,…,……,……
CharText/Enemy/Witch/Ally/Priest_Low,Text,,후회하지 마세요.,Tu le regretteras.,後悔なきように…,你不要后悔。,你不要後悔。
CharText/Enemy/Witch/Ally/Prime,Text,,흠... 아직까진 괜찮아.,Hmph... Laisse-moi essayer.,まだ…大丈夫だ。,嗯……我还撑得住。,嗯……我還撐得住。
CharText/Enemy/Witch/Ally/Prime_Low,Text,,그만! 난 충분히 버텼어!,Stop ! J'ai atteint ma limite !,くっ…！もう限界だ…！,住手！我快撑不下去了！,住手！我快撐不下去了！
CharText/Enemy/Witch/Ally/ShadowPriest,Text,,"그래, 내가 감당할게.","Très bien, je m'en occupe.",うん、ボクが背負う。,可以，让我来承受吧。,可以，讓我來承受吧。
CharText/Enemy/Witch/Ally/ShadowPriest_Low,Text,,아직 널 믿고있어.,Je crois en toi.,まだ…信じてるよ…。,我相信你。,我相信你。
CharText/Enemy/Witch/Ally/SilverStein,Text,,귀찮게 됐군...,Quelle corvée...,面倒くさくなってきたな。,这下可麻烦了……,這下可麻煩了……
CharText/Enemy/Witch/Ally/SilverStein_Low,Text,,희생을 하라고? 어쩔 수 없지.,"C'est moi, hein ? J'imagine que je n'ai pas le choix.",犠牲か…しょうがねえなぁ…,让我牺牲？那好吧。,讓我犧牲？那好吧。
CharText/Enemy/Witch/Ally/Sizz,Text,,여기서 마녀의 인형이 되긴 싫어요!,Je ne veux pas devenir la poupée de la Sorcière !,魔女の人形になるのはイヤです！,我不想变成魔女的玩偶！,我不想變成魔女的玩偶！
CharText/Enemy/Witch/Ally/Sizz_Low,Text,,제발 멈춰주세요!,Je t'en supplie... arrête !,や、やめてください！,求求你住手吧！,求求你住手吧！
CharText/Enemy/Witch/Ally/TW_Blue,Text,,나 말고… 내 옆에 사람은 어때…?,Et la personne à côté de moi... ?,こっちじゃなくて…隣はどう？,别啊……你看我旁边这个人怎么样……？,別啊……你看我旁邊這個人怎麼樣……？
CharText/Enemy/Witch/Ally/TW_Blue_Low,Text,,"더, 더는 버틸 수가… 꽥.",J-Je... je ne crois pas pouvoir... *s'évanouit*,こ、これ以上は…グエー。,我，我撑不下去了……呕……,我，我撐不下去了……嘔……
CharText/Enemy/Witch/Ally/TW_Red,Text,,날 선택하면 죽여 버릴 거야!,Je te tue si tu me choisis !,私を選んだら殺すから！,你敢选我我就弄死你！,你敢選我我就弄死你！
CharText/Enemy/Witch/Ally/TW_Red_Low,Text,,하으… 이제 그만...,Haa... s'il te plaît... ça suffit...,はうう…もうやめて…,啊……我不行了……,啊……我不行了……
CharText/Enemy/Witch/Ally/Trisha,Text,,좋을대로 해.,Ça ne me dérange pas.,勝手にしなよ。,随便你吧。,隨便你吧。
CharText/Enemy/Witch/Ally/Trisha_Low,Text,,크읏....,Kuh...,くっ…,咳咳……,咳咳……
CharText/Enemy/Witch/EveSp,Text,,후후... 재밌는 인형을 부리고 있구나.,Héhé... Quelle poupée fascinante.,フフ…面白い人形ね。,呵呵……你的玩偶好像很有趣哦。,呵呵……你的玩偶好像很有趣。
CharText/Enemy/Witch/First_0,Text,,"꼬맹아, 어디 한번 실력을 보자꾸나.","Voyons voir ce dont tu es capable, mon enfant.",お手並み拝見といこうかしら。,小朋友，让我看看你的实力吧。,小朋友，讓我看看你的實力。
CharText/Enemy/Witch/First_1,Text,,네 선택으로 인해 일행들은 무너져내려갈거다.,Tes amis périront à cause de tes propres choix.,その選択、後悔するわよ…,你的所有同伴将会因你的选择走向灭亡。,你所有的同伴將會因你的選擇而走向滅亡。
CharText/Enemy/Witch/Talk_0,Text,,천천히... 시들어...,Flétrissez... lentement...,ゆっくり…枯れて…,慢慢地……枯萎吧……,慢慢地……枯萎吧……
CharText/Enemy/Witch/Talk_1,Text,,언제까지 버틸수 있을까?,Combien de temps pourront-ils encore tenir ?,いつまで持つのかしら？,看你们能撑到什么时候？,看你們能撐到什麼時候？
CharText/Enemy/Witch/Talk_2,Text,,네 손에 최후를 맞이하지 않게 조심해,"Fais attention, mon chéri. Tu finiras par les tuer.",選択には注意してね…,小心可不要死在我手里哦。,小心可不要死在我手裡哦。
CharText/Enemy/Witch/Talk_3,Text,,누구한테 저주를 걸지 정말 기대 돼,J'ai hâte de voir qui tu vas maudire.,誰に呪いをかけるのか楽しみね…,你准备把诅咒上给谁呢？,你準備把詛咒上給誰呢？
CharText/Enemy/Witch/Talk_4,Text,,이번엔 다른 애한테 저주를 걸어보는건 어때?,Pourquoi ne maudirais-tu pas quelqu'un d'autre cette fois ?,この子はどうかしら…？,这次换一个人诅咒怎么样？,這次換一個人詛咒怎麼樣？
CharText/Enemy/Witch/Talk_5,Text,,자기손으로 죽이는 기분은 어때?,"Alors, ça fait quoi de les tuer de tes propres mains ?",仲間を殺す気分はどう…？,亲手杀死自己同伴的感觉如何？,親手殺死同伴的感覺如何？
CharText/Hein/Skill/Hein_6,Text,스킬에 부여되는 효과,<b>폭주</b>스킬로 강화됨,Amélioré par <b>Rage</b>,<b>暴走</b>により強化,通过<b>暴走</b>技能强化,透過<b>暴走</b>技能強化
CharText/Hein/Text/Passive_0,Text,패시브 발동 대사,으하하하하하!,BAHAHAHAHAHA !,グハハハハハハ！,啊哈哈哈哈哈！,啊哈哈哈哈哈！
CharText/Ilya/Ilya_Skill,Text,"1연격, 2연격 할때 사용하는 연격",연격,Frappes,連撃,连击,連擊
CharText/Ilya/Kill,Text,즉사 스킬의 조건이 만족되었을때 띄워주는것,즉시 처치 가능,Peut être vaincu,一撃必殺,可立即击杀,可立即擊殺
CharText/Lian/Parrying,Text,패링시 표기 택스트,패링!,Parade réussie !,パリング！,格挡！,格擋！
CharText/MissChain/Passive_0,Text,패시브 발동 대사,잘 봐!,Regarde ça !,覚悟しな！,看好了！,看好了！
CharText/MissChain/Passive_1,Text,2,화끈하게 간다!,Il commence à faire chaud !,派手に行こう！,我要热血沸腾了！,我要熱血沸騰了！
