Key,Type,Desc,Korean,English,Japanese,Chinese,Chinese-TW [zh-tw],
ArkUpgrade/Reroll_Desc,Text,,2스테이지부터 이벤트 오브젝트 선택지를 새로고침 할 수 있습니다. (스테이지당 한 번),Permet de rafraîchir les options d’objets d’événement à partir de la deuxième étape. (Une fois par étape),ステージ2から、イベントオブジェクト選択時に選択肢の再抽選を行える。(ステージごとに最大1回),从第二个区域开始，可刷新事件选项。（每个区域一次）,從第二個區域開始，可刷新事件選項。 （每個區域一次）,
ArkUpgrade/Reroll_Name,Text,,이벤트 새로고침,Rafraîchissement d’événement,イベントを再抽選,事件刷新,事件刷新,
ArkUpgrade/StartPublicSkill_Desc,Text,,첫 스테이지 보스 클리어 시 무작위 스킬북을 추가로 얻을 수 있습니다.,Obtenez un livre de compétence aléatoire supplémentaire lorsque vous battez le premier boss.,ステージ1のボス撃破時、スキルブックを1個ランダムで獲得できる。,击败第一个区域的BOSS时额外获得随机技能书。,擊敗第一個區域的BOSS時額外獲得隨機技能書。,
ArkUpgrade/StartPublicSkill_Name,Text,,보급,Ravitaillement,補給,补给,補給,
ArkUpgrade/Vending2_Desc,Text,,기도하는 동상에서 아군의 전용 스킬을 한개 구입할 수 있습니다.,Vous pouvez acheter une compétence de classe d’allié à la Statue de Prière.,祈りの像で味方専用のスキルを1個購入できる。,可通过祈祷的雕像购买一个友军的专属技能。,可透過祈禱的雕像購買一個友軍的專屬技能。,
ArkUpgrade/Vending2_Name,Text,,기도하는 동상 I,Statue de Prière I,祈りの像Ⅰ,祈祷的雕像 I,祈禱的雕像 I,
Buff/B_AllyDoll_Hp0Effect_Description,Text,,"<b>자신의 체력이 0 이하</b>일 때, 손에서 스킬을 낼 때 마다 중첩을 1 쌓습니다.
<b>최대 중첩</b>이 되면, 자신을 제외한 모든 아군에게 15 고통 피해를 입힙니다.","Si <b>ce personnage a 0 PV ou moins</b>, gagne 1 cumul chaque fois que vous jouez une compétence de votre main. 
En atteignant le <b>nombre maximum de cumuls</b>, inflige 15 dégâts de Douleur à tous les alliés sauf ce personnage.","<b>自分の体力が0以下</b>の時、手札からスキルを出す度ストックが1上がります。
<b>ストックが最大値</b>になると、自分以外の味方全員に15の苦痛ダメージを与えます。","当<b>自身体力值少于1点</b>时，每当从手中释放技能时叠加1层。
叠加至<b>最高层数</b>时，对除自身以外的所有友军造成15点痛苦伤害。","當<b>自身體力值少於1點</b>時，每當從手中釋放技能時疊加1層。
疊加至<b>最高層數</b>時，對除自身以外的所有友軍造成15點痛苦傷害。",
Buff/B_AllyDoll_Hp0Effect_Name,Text,,타오르는 말뚝,Pieu ardent,燃え上がる杭,燃烧的木桩,燃燒的木樁,
Buff/B_Animatronics_1_T_Description,Text,,회복 받으면 1 중첩 제거됩니다.,Retire 1 cumul lorsqu’il est soigné.,回復されるとストックが1減少する。,受到治疗时减少1层。,受到治療時減少1層。,
Buff/B_Animatronics_1_T_Name,Text,,깊은 출혈,Saignement profond,過剰出血,严重失血,嚴重失血,
Buff/B_Animatronics_T_0_Name,Text,,방어력 감소,Armure réduite,防御力ダウン,防御力减少,防禦力減少,
Buff/B_Armor_0_T_Description,Text,,공격을 적중시켜도 방패를 해제시킬 수 없습니다.,Le bouclier ne peut pas être retiré même après une attaque réussie.,攻撃が命中してもガードを解除できない。,即使攻击命中也无法解除盾牌。,即使攻擊命中也無法解除盾牌。,
Buff/B_Armor_0_T_Name,Text,,무뎌짐,Arme émoussée,鈍化,钝化,鈍化,
Buff/B_Armor_P_1_Description,Text,,<b>한 번</b>의 피해를 방어합니다.,Bloque <b>1</b> attaque.,ダメージを<b>1回</b>ブロックする。(防御力100%アップ),防御<b>一次</b>伤害。,防禦<b>一次</b>傷害。,
Buff/B_Armor_P_1_Name,Text,,단단한 방패,Bouclier robuste,頑丈な盾,坚固的盾牌,堅固的盾牌,
Buff/B_AssassinsTalisman_Description,Text,,다음에 받을 피해 30% 증가,Les dégâts subis lors de la prochaine attaque sont augmentés de 30 %.,次に受けるダメージ30%アップ。,下一次所受伤害增加30%,下一次所受傷害增加30%,
Buff/B_AssassinsTalisman_Name,Text,,암살자의 부적,Talisman de l’assassin,暗殺者のタリスマン,暗杀者符咒,暗殺者符咒,
Buff/B_Azar_10_T_1_Description,Text,,"스킬을 내거나 버리기를 3회 할 때 마다, 마나 1을 회복하고 스킬을 뽑습니다.","Chaque fois que vous jouez ou défaussez une compétence 3 fois, restaure 1 Mana et pioche 1 compétence.",スキルを3回使用するか、捨てる度、マナを1回復し、スキルを1個引く。,每当释放或丢弃技能3次时，恢复1点法力值并抽取技能。,每當釋放或丟棄技能3次時，恢復1點法力值並抽取技能。,
Buff/B_Azar_10_T_1_Name,Text,,신기루,Mirage,蜃気楼,海市蜃楼,海市蜃樓,
Buff/B_Azar_11_T_Description,Text,,비용이 0인 스킬의 치명타 확률이 100% 증가합니다.,Les compétences coûtant 0 ont 100 % de chances de coup critique.,コスト0のスキルのクリティカル率が100%アップする。,手中费用为0的技能暴击率增加100%。,手中費用為0的技能暴擊率增加100%。,
Buff/B_Azar_11_T_Name,Text,,빛나는 검기,Aura brillante,光る剣気,光辉剑气,光輝劍氣,
Buff/B_Azar_12_T_Description,Text,,"자신을 포함한 아군이 적에게 스킬을 시전할 때 마다, 대상에게 환영검을 시전하여 추가 피해를 입힙니다.","Chaque fois qu’un membre du groupe utilise une compétence sur un ennemi, lance Épée illusoire sur la même cible.",パーティーメンバー全員が敵にスキルを使用する度、ターゲットに幻影の刃で追加ダメージを与える。,每当自身或友军对敌人释放技能时，对目标追加释放幻影剑造成额外伤害。,每當自身或友軍對敵人釋放技能時，對目標追加釋放幻影劍造成額外傷害。,
Buff/B_Azar_12_T_Name,Text,,이기어검,Épée dansante,飛剣術,以气御剑,以氣御劍,
Buff/B_Azar_9_T_Description,Text,,덱에서 스킬을 뽑을 때 마다 뽑은 스킬에 환영검 버프를 부여합니다.,"Chaque fois que vous piochez une compétence du deck, elle reçoit un bonus d’Épée illusoire.",デッキからスキルを引く度、そのスキルに幻影の刃効果を与える。,每当从牌库中抽取技能时，为抽取的技能添加幻影剑增益。,每當從牌庫中抽取技能時，為抽取的技能添加幻影劍增益。,
Buff/B_Azar_9_T_Name,Text,,무한의 검,Épée de l’infini,無限の刃,无限之剑,無限劍,
Buff/B_Azar_P_0_Description,Text,,공격을 적중시키면 아자르의 환영검 스킬을 손에 생성합니다.,Azar génère une Épée illusoire chaque fois qu’il réussit une attaque.,攻撃が命中すると幻影の刃スキルを作成する。,攻击命中时在手中生成阿扎尔的幻影剑技能。,攻擊命中時在手中生成阿札爾的幻影劍技能。,
Buff/B_Azar_P_0_Name,Text,,환영검,Épée illusoire,幻影の刃,幻影剑,幻影劍,
Buff/B_Azar_T_1_Description,Text,,다음 턴에 이 버프를 가진 캐릭터의 환영검 스킬을 손에 생성합니다.,Génère une autre Épée illusoire pour le personnage bénéficiant du bonus au prochain tour.,次のターン、この効果を持っているキャラクターの幻影の刃スキルを作成する。,下一回合在手中生成拥有该增益的角色的幻影剑技能。,下一回合在手中產生擁有該增益的角色的幻影劍技能。,
Buff/B_Azar_T_1_Name,Text,,환영결집,Ralliement illusoire,幻影結集,幻影集结,幻影集結,
Buff/B_Azar_T_4_Description,Text,,"공격받으면 1중첩 감소하고, 모든 적에게 환영검을 시전하여 &a 피해를 입힙니다.","Lorsqu’il est attaqué, retire 1 cumul et lance Épée illusoire sur tous les ennemis pour &a dégâts.",攻撃を受ける度、ストックを1消費し敵全体に幻影の刃で&aダメージを与える。,受攻击时减少1层，并对所有敌人追加释放幻影剑，造成&a点伤害。,受攻擊時減少1層，對所有敵人追加釋放幻影劍，造成&a點傷害。,
Buff/B_Azar_T_4_Name,Text,,검막,Épée voilée,ブレイドヴェール,剑幕,劍幕,
Buff/B_Azar_T_6_Description,Text,,환영 검 패시브 연속 발동,Active les Épées illusoires consécutives,幻影の刃パッシブ連続発動。,连续发动幻影剑被动,連續發動幻影劍被動,
Buff/B_Azar_T_6_Name,Text,,이기어검,Épée dansante,飛剣術,以气御剑,以氣御劍,
Buff/B_Ballon_P_0_Description,Text,,"깜짝 풍선으로 인해 버프를 얻고 있습니다.
깜짝 풍선을 처치하면 해제됩니다.","Obtient un bonus du Ballon de fête surprise. 
Est retiré lorsque le ballon éclate.","ビックリ風船の影響を受けている。
ビックリ風船を割ると解除される。","因炫光气球获得增益。
击杀炫光气球时解除。","因炫光氣球獲得增益。
擊殺炫光氣球時解除。",
Buff/B_Ballon_P_0_Name,Text,,방어력 증가,Armure augmentée,防御力アップ,防御力增加,防禦力增加,
Buff/B_Ballon_P_Description,Text,,터지면 모두에게 기절(<sprite=2>75%)을 겁니다.,Étourdît (<sprite=2>75 %) tout le monde lorsqu’il éclate.,割れると全員をスタン(<sprite=2>75%)状態にする。,爆炸时向所有角色发动眩晕 (<sprite=2>75%)。,爆炸時向所有角色發動眩暈 (<sprite=2>75%)。,
Buff/B_Ballon_P_Name,Text,,깜짝 풍선,Ballon de fête surprise,ビックリ風船,炫光气球,炫光氣球,
Buff/B_BarrierInk_Name,Text,,보호막 잉크,Encre de barrière,バリアインク,墨水保护罩,墨水保護罩,
Buff/B_BlackJack_BlockDamage_Description,Text,,턴이 종료되면 해제됩니다,Est retirée à la fin du tour.,ターン終了時解除,回合结束时解除。,回合結束時解除。,
Buff/B_BlackJack_BlockDamage_Name,Text,,받는 피해 증가,Dégâts subis augmentés,受けるダメージアップ,所受伤害增加,所受傷害增加,
Buff/B_Blade_0_Description,Text,,다음 한번 피격 당할 때 받은 피해량 만큼 적에게 피해를 입힙니다.,"Lors de la prochaine attaque subie, inflige à l’attaquant des dégâts équivalents aux dégâts reçus.",次に攻撃された時、受けたダメージと同じダメージを敵に与える。,下一次受到攻击时，对敌人造成与所受伤害量相等的伤害。,下一次受到攻擊時，對敵人造成與所受傷害量相等的傷害。,
Buff/B_Blade_0_Name,Text,,붉은 가시,Épines cramoisies,赤いトゲ,红刺,紅刺,
Buff/B_Blade_1_Description,Text,,손에 있는 공격스킬 사용 불가,Impossible d’utiliser les compétences d’attaque depuis la main.,手札の攻撃スキル使用不能。,无法使用手中的攻击技能,無法使用手中的攻擊技能,
Buff/B_Blade_1_Name,Text,,공포,Peur,恐怖,恐惧,恐懼,
Buff/B_Blade_2_Description,Text,,"치명타 확률 100%, 방어력 60% 증가. 공격 받으면 사라집니다.",Augmente les chances de coup critique de 100 % et l’armure de 60 %. Retiré lorsqu’on est attaqué.,"クリティカル率100%、防御力60%アップ。
攻撃されると効果が解除される。",暴击率增加100%，防御力增加60%。受到攻击后解除。,暴擊率增加100%，防禦力增加60%。受到攻擊後解除。,
Buff/B_Blade_2_Name,Text,,인내,Patience,忍耐,忍耐,忍耐,
Buff/B_BlankBullet_Description,Text,,착용자의 스킬로 8마나를 소모하면 무작위 적에게 기절 부여.,"À 8 cumuls, étourdit un ennemi aléatoire.",装備したキャラクターのスキルでマナを合計8消費するとランダムな敵をスタン状態にする。,使用装备者的技能总计消耗8点法力值时，眩晕随机敌人。,使用裝備者的技能總計消耗8點法力值時，暈眩隨機敵人。,
Buff/B_BlankBullet_Name,Text,,공포탄,Balle blanche,空砲,空包弹,空包彈,
Buff/B_Blockdebuff_Description,Text,,"다음 받는 디버프를 저항합니다.
저항하면 1중첩 감소합니다.","Résiste au prochain malus reçu. 
Retire 1 cumul lors de l’activation.","デバフを防ぐ。
防ぐとストックが1減少する。","免疫下一次受到的减益。
触发时消耗1层层数。","免疫下一次受到的減益。
觸發時消耗1層層數。",
Buff/B_Blockdebuff_Name,Text,,디버프 차단,Blocage de malus,デバフ遮断,减益抵抗,減益抵抗,
Buff/B_BloodyMist_ShareDamage_Description,Text,,"아군이 빈사 상태에서 피해를 입을 때, 전투불능이 되지 않는 대신, 해당 피해에 15를 더한 값이 빈사 상태가 아닌 다른 아군에게 나누어 입힙니다.","Chaque fois qu’un allié subit des dégâts au stade du point de mourir, il ne s’évanouit pas. À la place, ajoute 15 à ces dégâts et les répartit entre tous les alliés hors de l’article de la mort.",瀕死状態の味方がダメージを受けると、戦闘不能にはならず、そのダメージに15を加えた値が瀕死状態ではない他の味方に分配される。,当友军在濒死状态下受到伤害时，不会进入无法战斗状态，但是会在该伤害基础上增加15点伤害后，分摊给非濒死状态的其他友军。,當友軍在瀕死狀態下受到傷害時，不會進入無法戰鬥狀態，但會在該傷害基礎上增加15點傷害後，分攤給非瀕死狀態的其他友軍。,
Buff/B_BloodyMist_ShareDamage_Name,Text,,피해 분담(혈무),Partage de douleur (Brume de sang),被害分担(血霧),分担伤害（血雾）,分擔傷害（血霧）,
Buff/B_BlueChip_CasinoDLC_Name,Text,,푸른 칩,Puce bleue,青いチップ,蓝色筹码,藍色籌碼,
Buff/B_BombClown_1_T_Name,Text,,화상,Brûlé,火傷,灼伤,灼傷,
Buff/B_BoomBalloon_P_0_Description,Text,,"폭발 풍선으로 인해 버프를 얻고 있습니다.
폭발 풍선을 처치하면 해제됩니다.",Obtient un bonus du Ballon explosif. Retiré lorsque le ballon éclate.,"ビックリ風船の影響を受けている。
ビックリ風船を割ると解除される。","因爆炸气球获得增益。
击杀爆炸气球时解除。","因爆炸氣球獲得增益。
擊殺爆炸氣球時解除。",
Buff/B_BoomBalloon_P_0_Name,Text,,스피드 증가,Vitesse augmentée,スピードアップ,速度增加,速度增加,
Buff/B_BoomBalloon_P_Description,Text,,터지면 모두에게 5만큼 피해를 줍니다.,Tous les personnages subissent 5 dégâts lorsque le ballon éclate.,割れると全員に5ダメージを与える。,爆炸时对所有角色造成5点伤害。,爆炸時對所有角色造成5點傷害。,
Buff/B_BoomBalloon_P_Name,Text,,폭발 풍선,Ballon « Explosif »,爆発風船,爆炸气球,爆炸氣球,
Buff/B_Boss_Reaper_1_T_Name,Text,,능력치 감소,Capacités affaiblies,ステータスダウン,能力值减少,能力值減少,
Buff/B_Boss_Reaper_2_T_Name,Text,,출혈,Saignement,出血,流血,流血,
Buff/B_Boss_Reaper_P_1_Description,Text,,<Hard>사형 선고 추가타 피해량 a&% 증가,Bonus de dégâts <Hard> de Sentence de mort augmenté de a&%.,<Hard>死の宣告による追加攻撃のダメージa&%アップ。,<Hard>死刑宣判追击伤害增加a&%,<Hard>死刑宣判追擊傷害增加a&%,
Buff/B_Boss_Reaper_P_1_Name,Text,,사형선고 강화,Sentence de mort améliorée,死の宣告強化,死刑宣判强化,死刑宣判強化,
Buff/B_BrightShield_Description,Text,,회복게이지 보호동안 지속됩니다.,Ce bonus reste actif tant que le personnage possède une protection de jauge de soin.,回復ゲージ保護の効果がある場合、効果が持続する。,在体力极限受保护期间持续。,在體力極限受保護期間持續。,
Buff/B_BrightShield_Name,Text,,광휘의 방패,Bouclier de luminosité,光輝の盾,光辉盾牌,光輝盾牌,
Buff/B_BrokenArrow_Description,Text,,다음 내는 스킬의 비용이 1 감소합니다.,La prochaine compétence jouée coûte 1 mana de moins.,次に使用するスキルのコストが1減少する。,下一个出手的技能费用减少1点。,下一個出手的技能費用減少1點。,
Buff/B_BrokenArrow_Name,Text,,부러진 화살,Flèche brisée,折れた矢,折断的弓箭,折斷的弓箭,
Buff/B_BunnyHeadband_0_Description,Text,,"자신이 6회 피해를 받을 때 마다 자신의 다음 스킬로 가하는 피해가 80% 증가하고, 모든 아군에게 5의 보호막을 부여합니다.","Chaque fois que le porteur subit 6 instances de dégâts, la prochaine compétence inflige 80 % de dégâts supplémentaires et confère 5 barrières à tous les alliés.",自分が6回ダメージを受ける度、自分の次のスキルで与えるダメージが80％アップし、味方全員に5のバリアを与える。,每当自身受到6次伤害时，自己的下一个技能造成的伤害增加80%，并赋予所有友军5点保护罩。,每當自身受到6次傷害時，自己的下一個技能造成的傷害增加80%，並賦予所有友軍5點保護罩。,
Buff/B_BunnyHeadband_0_Name,Text,,토끼 머리띠,Serre-tête lapin,バニーヘアバンド,兔子发箍,兔子髮箍,
Buff/B_BunnyHeadband_Damage_Description,Text,,다음 스킬로 가하는 피해량이 80% 증가했습니다.,La prochaine compétence inflige 80 % de dégâts supplémentaires.,次に使用するスキルで与えるダメージが80％アップする。,下一个出手的技能造成的伤害增加80%。,下一個出手的技能造成的傷害增加80%。,
Buff/B_BunnyHeadband_Damage_Name,Text,,다음 가하는 피해 증가,Prochains dégâts augmentés,次に与えるダメージがアップ,下一个出手的技能伤害增加,下一個出手的技能傷害增加,
Buff/B_BunnyHeadband_Sheild_Name,Text,,보호막,Barrière,バリア,保护罩,保護罩,
Buff/B_Butler_T_1_Description,Text,,턴이 시작될 때 캐릭터의 공격 스킬이 있다면 마나를 소모하여 스킬을 시전합니다.,"Au début du tour, si le personnage possède des compétences d’attaque, elles sont lancées en consommant du mana.",ターン開始時に攻撃スキルをもっていれば、マナを消費しスキルを使用する。,回合开始时若手中有本角色的攻击技能，则消耗法力值强制释放该技能。,回合開始時若手中有本角色的攻擊技能，則消耗法力值強制釋放該技能。,
Buff/B_Butler_T_1_Name,Text,,분노,Fureur,怒り,激怒,激怒,
Buff/B_CamouflageCloak_Description,Text,,한 번의 공격을 회피합니다.,Esquive la prochaine attaque.,攻撃を一度だけ回避する。,闪避一次攻击。,閃避一次攻擊。,
Buff/B_CamouflageCloak_Name,Text,,그림자 장막,Voile d’ombre,影外套,影子帷幕,影子帷幕,
Buff/B_CasinoGame_Description,Text,,"플레이어의 손의 비용이 갬블 배틀의 '점수'가 됩니다.
최대한 높은 점수를 만든 뒤 '스탠드'하세요.
점수가 최대치를 <b>초과</b>하거나, 상대 플레이어보다 낮을 경우 갬블에서 패배합니다.

손에 있는 모든 스킬의 비용이 1증가합니다.","La somme du coût des compétences dans la main du joueur devient des points pour le combat de pari.
Essayez d’obtenir un score élevé et utilisez « Se tenir ».
Si votre score <b>dépasse</b> la limite maximale, ou s’il est inférieur à celui de l’adversaire, vous perdez le pari.

Toutes les compétences en main coûtent 1 de plus.
","プレイヤーの手札にあるスキルのコストがギャンブルバトルの「スコア」になります。
できるだけ高いスコアを作った後、「スタンド」してください。
スコアが最大値を<b>超える</b>か、相手プレイヤーより低い場合、ギャンブルで敗北します。

手札にあるすべてのスキルのコストが1アップします。","手中所有技能的费用之和将作为赌神对决的“分数”。
请尽可能获得高分后“停牌”。
当分数<b>超过</b>最大值或比对手低时将输掉此次对决。

手中所有的技能费用增加1点。","手中所有技能的費用之和將作爲賭神對決的「分數」。
請儘可能獲得高分後「停牌」。
當分數<b>超過</b>最大值或比對手低時將輸掉此次對決。

手中所有的技能費用增加1點。",
Buff/B_CasinoGame_Name,Text,,갬블 배틀,Combat de pari,ギャンブルバトル,赌神对决,賭神對決,
Buff/B_ClownSuit_0_Description,Text,,광대 정장으로 인해 방어력이 증가했습니다.,Armure augmentée grâce au costume de clown.,クラウンのタキシードの効果で防御力がアップしている。,因小丑礼服防御力增加。,因小丑禮服防禦力增加。,
Buff/B_ClownSuit_0_Name,Text,,방어력 증가,Armure augmentée,防御力アップ,防御力增加,防禦力增加,
Buff/B_ClownSuit_1_Description,Text,,광대 정장으로 인해 공격력이 증가했습니다.,Puissance d'attaque augmentée grâce au costume de clown.,クラウンのタキシードの効果で攻撃力がアップしている。,因小丑礼服攻击力增加。,因小丑禮服攻擊力增加。,
Buff/B_ClownSuit_1_Name,Text,,공격력 증가,Puissance d'attaque augmentée,攻撃力アップ,攻击力增加,攻擊力增加,
Buff/B_Common_CCRsis_Name,Text,,방해 저항,Résistance aux effets de contrôle,妨害レジスト,干扰抵抗,干擾抵抗,
Buff/B_Common_Protection_Description,Text,,"공격을 &a이 대신 받아줍니다.
&a의 회복게이지 보호 효과와 방어력을 함께 받습니다.","&a reçoit les attaques à la place de ce personnage. 
Ce personnage bénéficie également de l'armure et des effets de protection de la jauge de soin de &a. 
(Ce bonus ne peut être actif que sur un seul allié à la fois.)","攻撃を&aが受けてくれる。
&aの回復ゲージ保護効果と防御力を得る。","由&a代替承受攻击。
同时获得&a的防御力和体力极限保护效果。","由&a代替承受攻擊。
同時獲得&a的防禦力和體力極限保護效果。",
Buff/B_Common_Protection_Enemy_Description,Text,,&a에게 보호받고 있습니다.,Protégé par &a.,&aに保護されている。,正在受到&a的保护。,正在受到&a的保護。,
Buff/B_Common_Protection_Enemy_Name,Text,,보호받음!,Protégé !,保護！,受保护！,受保護！,
Buff/B_Common_Protection_Name,Text,,보호받음!,Protégé !,保護！,受保护！,受保護！,
Buff/B_Common_Rest_Description,Text,,행동할 수 없습니다.,Ne peut pas agir.,行動できない。,无法行动。,無法行動。,
Buff/B_Common_Rest_Name,Text,,기절,Étourdissement,スタン,眩晕,眩暈,
Buff/B_Control_10_S_Description,Text,,"적이 피해를 입으면, 그 피해의 절반만큼 '파악됨!' 디버프를 가진 모든 적도 함께 피해를 받습니다.","Chaque fois qu'un ennemi subit des dégâts, inflige la moitié de ces dégâts à tous les autres ennemis affectés par le malus « Identifié ! ».",敵がダメージを受ける際、「洞察」状態の敵全てにそのダメージの半分を与える。,当敌人受到伤害时，其他所有带有“洞察”减益的敌人将受到一半的伤害。,當敵人受到傷害時，其他所有帶有「洞察」減益的敵人將受到一半的傷害。,
Buff/B_Control_10_S_Name,Text,,팬텀 페인,Douleur fantôme,ファントムペイン,幻痛,幻痛,
Buff/B_Control_11_T_Description,Text,,파악됨!' 혹은 방해 디버프가 있는 적을 도발에 관계없이 타겟할 수 있게됩니다.,"Vous pouvez cibler un ennemi affecté par « Identifié ! » ou un effet de contrôle, même s'il est sous l'effet de Provocation.",「洞察」、もしくは妨害状態の敵を挑発状態を無視してターゲットに指定できる。,可以无视嘲讽指向带有洞察或干扰减益的敌人。,可以無視嘲諷指向受到洞察或干擾減益的敵人。,
Buff/B_Control_11_T_Name,Text,,트로이 목마,Cheval de Troie,トロイの木馬,特洛伊木马,特洛伊木馬,
Buff/B_Control_12_0_T_Name,Text,,보호막,Barrière,バリア,保护罩,保護罩,
Buff/B_Control_2_1_T_Name,Text,,받는 치명타 확률 증가,Augmentation des chances de recevoir un coup critique.,被クリティカル率アップ,受到暴击率增加,受到暴擊率增加,
Buff/B_Control_2_T_Description,Text,,"&target 이외의 대상은 절대 공격할 수 없습니다.
대상을 공격하면 해제됩니다.",Ne peut cibler que &target. Retiré lorsque ce personnage attaque &target.,"&target以外は決して攻撃できない。
ターゲットを攻撃すると解除される。","无法攻击&target以外的目标。
攻击目标时解除。","無法攻擊除&target以外的目標。
攻擊目標時解除。",
Buff/B_Control_2_T_Name,Text,,원한,Rancune,恨み,仇恨,仇恨,
Buff/B_Control_4_T_Description,Text,,"다음 피해를 받았을 때 즉시 &a 만큼 회복합니다.
빈사 상태에서 피해를 받았다면 그 피해를 무효화합니다.
*시전자의 최대 체력 비례",Restaure &a PV lors de la prochaine attaque subie. Annule les dégâts si le personnage est sur le point de mourir. (Basé sur les PV max du lanceur.),"次にダメージを受けた時&a回復する。
瀕死状態であった場合はダメージも無効にする。
*最大体力に比例","在受到下一次伤害时立即恢复&a点体力值。
若在濒死状态下受到伤害，则免疫该伤害。
*恢复量根据施加此增益的角色的最大体力值计算","在受到下一次傷害時立即恢復&a點體力值。
若在瀕死狀態下受到傷害，則免疫該傷害。
*恢復量根據施加此增益的角色的最大體力值計算",
Buff/B_Control_4_T_Name,Text,,냉정,Sans-cœur,冷静,冷静,冷靜,
Buff/B_Control_6_T_Description,Text,,"행동할 수 없습니다.
피해를 받으면 해제됩니다.",Ne peut pas agir. Retiré lorsqu'il subit des dégâts.,"行動できない。
ダメージを受けると解除される。","无法行动。
受到伤害时解除。","無法行動。
受到傷害時解除。",
Buff/B_Control_6_T_Name,Text,,수면,Sommeil,睡眠,催眠,催眠,
Buff/B_Control_8_T_Description,Text,,방해 디버프 저항력만큼 받는 치명타 피해량이 증가합니다. (최대 150%),Augmente les dégâts des coups critiques subis en fonction de la résistance aux effets de contrôle (jusqu'à 150 %).,妨害レジストの数値分、被クリティカルダメージが上がる。(最大150%),根据目标当前的干扰减益抵抗力，增加所受暴击伤害。（最多150%）,根據目標目前的干擾減益抵抗力，增加所受暴擊傷害。 （最多150%）,
Buff/B_Control_8_T_Name,Text,,트라우마,Traumatisme,トラウマ,精神创伤,精神創傷,
Buff/B_Control_9_T_Name,Text,,단결된 의지,Volonté unie,一致団結,联合意志,聯合意志,
Buff/B_Control_P_Description,Text,,"이 캐릭터의 다음 행동이 누구를 대상으로 하는지 미리 알 수 있습니다.
조건에 의해 결정되는 대상일 경우에는 알 수 없습니다.",Affiche la cible de la prochaine action de ce personnage. Ne s'affiche pas si la cible est déterminée par une condition spéciale.,"このキャラクターの次の行動が誰をターゲットにするか確認できる。
条件によってターゲットが変わる場合は確認できない。","可以提前知道该角色的下一次行动目标是谁。
若是根据特定条件所指定的目标则无法获知。","可以提前知道該角色的下一次行動目標是誰。
若是根據特定條件所指定的目標則無法獲知。",
Buff/B_Control_P_Name,Text,,파악됨!,Identifié !,洞察,洞察,洞察,
Buff/B_Crossoflight_Description,Text,,"4중첩일 때, 손에서 적 대상 스킬을 내면 모든 적을 대상으로 시전됩니다.","Tous les 4 cumuls, une compétence ciblant un seul ennemi touche tous les ennemis.",手札から回復スキルを4回使用した後、手札から敵を対象としてスキルを使用すると対象が敵全体となる。,叠加4层时，下一个出手的指向敌人的技能将释放给所有敌人。,疊加4層時，下一個出手的指向敵人的技能將釋放給所有敵人。,
